902;a201;20;6;62
903;a202;21;6;62
904;a204;20;16;62
905;a222;24;16;62
906;a224;8;29;62
907;a301;5;6;62
908;a302;5;6;62
909;a303;20;16;62
910;a320;10;6;62
911;a321;10;6;62
912;a324;10;6;62
913;a515;8;6;63
914;a516;10;6;63
915;a518;24;16;63
916;a615;25;28;75
917;a709;5;6;65
918;a710;5;6;65
919;a711;10;6;65
920;a801;20;6;65
921;a806;20;16;65
922;ab300;300;12;30
923;ab150;150;12;30
924;ab35;35;16;30
925;b101;42;16;66
926;b102;10;6;66
927;b105;10;6;66
928;b106;10;6;66
929;b107;10;6;66
930;b108;10;6;66
931;b111;10;6;66
932;b122;10;6;66
933;b201;10;6;66
934;b202;10;6;66
935;b203;10;6;66
936;b206;10;6;66
937;b302;10;6;66
938;b305;10;6;66
939;b309;12;6;66
940;b327;11;6;66
941;b329;10;37;66
942;b330;5;6;66
943;b403;10;6;72
944;b418;10;6;72
375;plav;40;3;30
376;cpu-a;20;17;356
377;cpu-c;20;17;356
378;cpu-e;20;17;356
379;cpu-i;20;17;356
380;cpu-k;12;17;356
945;b419;10;6;72
946;b501;16;6;72
947;b502;20;6;72
948;b504;12;6;72
949;b505;12;6;72
950;b516;18;6;72
951;b517;18;6;72
952;b614;22;6;72
953;b615;20;6;72
954;b616;10;6;72
955;b701;60;11;72
956;b704;100;11;72
957;bU01;40;28;75
958;bU02;18;20;66
959;bs09;10;6;66
960;bc300;300;12;30
961;bc150;150;12;30
962;bc35;41;16;30
963;c101;36;16;61
964;lvn;10;6;61
965;c117;48;17;226
966;c119;22;17;226
967;c120;10;6;61
968;c121;10;6;61
969;c124;10;6;61
970;c201;40;16;61
971;c202;27;16;61
972;c214;10;6;61
973;c301;40;16;59
974;c302;10;6;59
975;c306;10;6;59
976;c312;10;6;59
977;c313;10;6;59
978;c315;10;6;59
979;c402;20;6;59
980;c417;10;6;59
981;c419;10;6;59
982;c502;10;6;356
983;c517;45;16;30
984;c518;19;16;30
985;c518a;18;16;30
986;c601;10;6;61
987;c603;10;6;61
988;c616;24;16;30
989;c701;10;6;59
990;c801;100;11;30
991;c802;65;11;30
992;c015;25;17;226
993;c025;10;6;356
994;c026;10;6;356
995;c027;10;6;66
996;cd300;300;12;30
997;cd150;150;12;30
998;cd35;41;16;30
999;cpu;92;17;356
1000;d301;10;6;356
1001;d328;10;6;356
1002;d330;10;6;356
1003;d405;10;6;356
1004;d406;10;6;356
1005;d422;10;6;356
1006;d501;10;6;356
1007;d502;10;6;356
1008;d516;10;6;356
1009;d520;10;6;356
1010;d521;10;6;356
1011;d601;10;6;356
1012;d618;10;6;356
1013;d712;20;37;356
1014;d713;10;37;356
1015;ds03;10;6;356
1016;de300;305;12;30
1017;de150;150;12;30
1018;de35;45;16;30
1019;e121a;20;17;68
1020;e121b;20;17;68
1021;e130;20;6;68
1022;e133;20;6;68
1023;e224;20;6;68
1024;e228;10;6;68
1025;e323;15;6;68
1026;e324;10;6;68
1027;e404;10;6;68
1028;e405;10;6;68
1029;e406;10;6;68
1030;e412;10;6;68
1031;e607;10;6;68
1032;e010;20;6;68
1033;tv;20;39;30
1034;tm;20;38;30
1035;pos;20;40;30
1166;d424;10;29;356
1170;e702;70;11;30
1171;bP01;10;6;71
1207;a201a;10;6;62
1208;A202a;10;6;62
1225;e131;20;17;30
1468;c711;20;16;30
1469;d307;20;24;356
1471;ne101;14;24;30
1625;b112;10;6;66
1626;b123;10;6;66
1630;d519;10;6;356
1764;e110;20;6;73
1627;c022;10;24;356
1632;e123;10;31;68
1826;c613;15;6;67
1169;e701;100;11;30
1173;bP04;10;6;71
1174;bP05;10;6;71
1179;T-015;11;16;356
1180;T-016;10;6;356
2127;C418;10;6;59
2188;e111;11;6;549
2229;a501;10;23;30
2231;a703;10;23;30
2235;d602;10;6;30
1466;bU03;20;16;71
1467;bP02;20;6;71
1470;ne100;20;24;30
1501;t;10;6;63
1631;d619;10;6;356
1665;e416;20;6;68
2227;a223;10;29;30
2230;a616;10;29;30
2232;b222;10;29;30
2233;b405;10;6;30
2507;a203;12;6;469
1162;B-223;10;6;71
1163;b401;20;11;72
1165;c415;10;6;59
1167;e231;36;16;30
1177;T-003;10;6;58
1178;T-004b;10;16;356
1182;T-103;10;6;58
1183;T-104;10;6;58
1185;T-106;10;6;58
1186;T-118;10;6;58
1187;T-119a;10;6;58
1205;c117a;24;17;226
1206;c117b;24;17;226
1221;c028;10;16;356
1222;T-105b;10;6;58
1223;T-119b;10;6;58
1226;lvnT;32;6;59
1628;c602;10;6;61
1629;c702;10;6;59
1664;e413;20;6;68
2187;T-014;14;6;356
2234;c221;10;6;30
2367;d010b;20;17;226
1164;b408;10;6;72
1168;e515;30;16;30
1172;bP03;10;6;71
1175;c020;12;16;356
1176;c518b;18;16;30
1181;T-026;10;6;59
1184;T-105a;10;6;58
1209;d004a;20;17;226
1210;d010a;20;17;226
1465;a217;20;37;67
1827;e125;10;6;68
1846;Å IP;21;16;226
